freq,unit,sex,age,icd10,geo\TIME_PERIOD	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 
A,NR,M,TOTAL,C43,MT	1 	2 	6 	1 	2 	5 	4 	5 	6 	3 
A,NR,M,TOTAL,C43,NL	294 	312 	308 	346 	342 	356 	376 	388 	446 	446 
A,NR,M,TOTAL,C43,NO	137 	130 	132 	143 	172 	143 	177 	175 	174 	198 
A,NR,M,TOTAL,C43,PL	438 	424 	498 	484 	487 	569 	544 	607 	614 	621 
A,NR,M,TOTAL,C43,PT	73 	83 	81 	109 	104 	102 	92 	117 	101 	126 
A,NR,M,TOTAL,C43,RO	190 	202 	193 	204 	198 	183 	179 	180 	195 	189 
A,NR,M,TOTAL,C43,SE	209 	231 	227 	204 	261 	265 	268 	301 	282 	281 
A,NR,M,TOTAL,C43,SI	40 	54 	48 	49 	43 	45 	64 	47 	55 	70 
A,NR,M,TOTAL,C43,SK	79 	86 	79 	85 	108 	75 	91 	85 	91 	108 
A,NR,M,TOTAL,C43,UK	856 	877 	935 	1006 	971 	1065 	1107 	1125 	1162 	1266 
A,NR,T,TOTAL,C43,AL	12 	18 	17 	10 	: 	: 	: 	: 	: 	13 
A,NR,T,TOTAL,C43,AT	255 	276 	299 	278 	326 	304 	301 	325 	313 	376 
A,NR,T,TOTAL,C43,BE	: 	: 	298 	276 	280 	267 	302 	317 	317 	316 
A,NR,T,TOTAL,C43,BG	142 	121 	128 	121 	165 	159 	142 	184 	167 	180 
A,NR,T,TOTAL,C43,CH	234 	222 	236 	286 	274 	280 	304 	284 	307 	310 
A,NR,T,TOTAL,C43,CY	: 	: 	: 	10 	11 	7 	10 	14 	12 	16 
A,NR,T,TOTAL,C43,CZ	363 	336 	351 	346 	331 	330 	329 	349 	372 	355 
A,NR,T,TOTAL,C43,DE	2216 	2207 	2295 	2293 	2327 	2287 	2467 	2500 	2657 	2711 
A,NR,T,TOTAL,C43,DK	239 	204 	228 	215 	236 	230 	231 	257 	247 	: 
A,NR,T,TOTAL,C43,EE	36 	36 	41 	51 	47 	58 	50 	57 	65 	60 
A,NR,T,TOTAL,C43,EL	144 	118 	174 	148 	161 	158 	173 	181 	167 	202 
A,NR,T,TOTAL,C43,ES	742 	743 	764 	761 	840 	834 	850 	877 	864 	975 
A,NR,T,TOTAL,C43,EU27_2020	10734 e	10609 e	11189 	11130 e	11582 e	11662 	12122 	12489 	12957 	13493 e
A,NR,T,TOTAL,C43,EU28	12389 e	12255 e	12958 	12915 e	13402 e	13517 	14167 	14563 	15042 	15697 e
A,NR,T,TOTAL,C43,FI	153 	157 	153 	144 	174 	202 	186 	183 	177 	189 
A,NR,T,TOTAL,C43,FR	1392 	1399 	1448 	1436 	1526 	1559 	1554 	1666 	1698 	1816 
A,NR,T,TOTAL,C43,FX	1382 	1385 	1432 	1429 	1512 	1547 	1541 	1657 	1685 	1788 
A,NR,T,TOTAL,C43,HR	184 	142 	161 	186 	192 	154 	177 	197 	176 	202 
A,NR,T,TOTAL,C43,HU	325 	328 	330 	344 	352 	319 	342 	340 	318 	336 
A,NR,T,TOTAL,C43,IE	55 	95 	97 	103 	97 	110 	105 	137 	129 	138 
A,NR,T,TOTAL,C43,IS	8 	8 	8 	8 	5 	11 	11 	12 	7 	: 
A,NR,T,TOTAL,C43,IT	1484 	1493 	1491 	: 	: 	1578 	1655 	1560 	1793 	1773 
A,NR,T,TOTAL,C43,LT	74 	85 	92 	75 	107 	89 	111 	85 	101 	121 
A,NR,T,TOTAL,C43,LU	12 	13 	18 	18 	11 	9 	7 	19 	8 	12 
A,NR,T,TOTAL,C43,LV	69 	47 	73 	62 	43 	70 	77 	81 	74 	96 
A,NR,T,TOTAL,C43,MK	54 	62 	78 	58 	82 	56 	80 	55 	69 	56 
A,NR,T,TOTAL,C43,MT	3 	5 	7 	7 	3 	6 	10 	6 	8 	6 
A,NR,T,TOTAL,C43,NL	543 	538 	548 	594 	624 	653 	661 	685 	794 	783 
A,NR,T,TOTAL,C43,NO	227 	212 	243 	266 	293 	249 	275 	277 	296 	338 
A,NR,T,TOTAL,C43,PL	906 	875 	1007 	945 	906 	1051 	1083 	1162 	1144 	1190 
A,NR,T,TOTAL,C43,PT	160 	146 	181 	202 	201 	192 	185 	216 	208 	244 
A,NR,T,TOTAL,C43,RO	344 	362 	357 	395 	389 	343 	368 	341 	349 	363 
A,NR,T,TOTAL,C43,SE	386 	380 	401 	381 	450 	443 	475 	497 	499 	470 
A,NR,T,TOTAL,C43,SI	75 	84 	86 	95 	97 	96 	105 	94 	122 	118 
A,NR,T,TOTAL,C43,SK	155 	146 	158 	153 	195 	154 	166 	159 	178 	198 
A,NR,T,TOTAL,C43,UK	1655 	1646 	1769 	1785 	1820 	1855 	2045 	2074 	2085 	2204 
